Estadistica Modificada,Nombre de la Carta,Descripcion,Rango de Valor Potencial,Tipo,Tiempo de Reuso,Incremento de Variante
Velocidad de Movimiento Base,Rayo Veloz,Aumenta permanentemente un [rango] la velocidad de tu serpiente.,[30 - 70]%,Pasiva,-,1%
Distancia de Teletransporte Lineal,Dash,Te teletransporta [rango] bloques hacia adelante.,[2 - 6] bloques,Activa,10s,1 bloque
Duracion del Modo Intangible,Modo Espectro,Te vuelves intangible y atraviesas todo durante [rango] segundos.,[2 - 6] segundos,Activa,15s,0.1 segundos
Duracion del Escudo Protector,Escudo,Recibes un escudo que absorbe un impacto durante [rango] segundos.,[3 - 8] segundos,Activa,20s,0.1 segundos
Duracion del Aturdimiento/Congelacion,Congelacion,Inmoviliza al enemigo durante [rango] segundos.,[1 - 5] segundos,Activa,25s,0.1 segundos
Duracion de Controles Invertidos,Veneno,Invierte los controles de movimiento del enemigo durante [rango] segundos.,[2 - 6] segundos,Activa,25s,0.1 segundos
Tamaño del Muro Generado,Muro,Coloca un muro sólido de [rango] bloques detrás de tu cola.,[2 - 5] bloques,Activa,15s,1 bloque
Cantidad de Puntos Robados,Robo,Roba [rango] puntos directamente al oponente.,[10 - 25] puntos,Activa,30s,1 punto
Radio de Atraccion Magnética,Iman,Atrae manzanas cercanas en un radio de [rango] bloques.,[3 - 7] bloques,Pasiva,-,0.5 bloques
Segmentos Base al Revivir,Piel Gruesa,Comienzas tu próxima vida con [rango] segmentos de cuerpo extras.,[4 - 8] segmentos,Pasiva,-,1 segmento
Reduccion de Tiempo de Reaparicion,Regeneracion,Reduce el tiempo de reaparición a [rango] segundos tras morir.,[0.2 - 2.0] segundos,Pasiva,-,0.1 segundos
Limite Maximo de Tamaño,Cola Corta,El tamaño de tu serpiente no superará los [rango] segmentos.,[10 - 20] segmentos,Pasiva,-,1 segmento
Puntaje por Manzana Recolectada,Multiplicador,Ganas un multiplicador de [rango] puntos extra por manzana.,[+1 - +5] puntos,Pasiva,-,1 punto
Puntaje Quitado al Rival por Morir,Ultimo Aliento,Resta [rango] puntos al rival al morir.,[5 - 20] puntos,Pasiva,-,1 punto
Tasa de Crecimiento Adicional,Esteroides,Creces [rango] segmentos adicionales al comer una manzana.,[+1 - +3] segmentos,Pasiva,-,0.1 segmentos
Reduccion Global de Cooldowns,Reloj Mágico,Reduce el tiempo de recarga de todas tus cartas activas un [rango].,[10% - 30%],Pasiva,-,1%
Multiplicador Pasivo de Velocidad al Morir Rival,Frenesí Asesino,Aumenta tu velocidad por [rango] segundos cuando el rival muere.,[3 - 8] segundos,Pasiva,-,0.1 segundos
Blindaje a Robos de Puntos,Bóveda Cerrada,Otorga un [rango] de resistencia contra la carta Robo del enemigo.,[30% - 80%],Pasiva,-,1%
Tiempo de Invulnerabilidad Post-Revivir,Ángel Guardián,Al reaparecer eres invulnerable a choques durante [rango] segundos.,[1 - 4] segundos,Pasiva,-,0.1 segundos
Probabilidad de Evasion Frontal,Espejismo,Tienes un [rango] de probabilidad de no chocar al recibir un impacto frontal.,[5% - 15%],Pasiva,-,1%
Penalización al Rival por Comer,Gula Tóxica,Le quita [rango] puntos al enemigo cada vez que come una manzana.,[1 - 4] puntos,Pasiva,-,0.5 puntos
Modificador Constante de Velocidad Enemiga,Grilletes,Reduce la velocidad permanente del rival en un [rango].,[5% - 15%],Pasiva,-,1%
Probabilidad de Generacion Extra Múltiple,Cosecha Abundante,Tienes un [rango] de probabilidad de que la manzana no desaparezca al comerla.,[15% - 40%],Pasiva,-,1%
Modificador de Tiempo Total de Partida,Manipula-Tiempo,recorta el tiempo de la partida en [rango] segundos.,[10 - 20] segundos,Activa,Una vez por partida,1 segundo
